Yahoo Field,Description
^VIX,VIX
^DJI,DJIA
^RUT,RUSSELL2K
^IXIC,Nasdaq
CL=F,Oil
GC=F,Gold
SI=F,Silver
JPY=X,Yen
^FTSE,FTSE
